CMP	HSC	MEP	MPP	P1	P2	P3	P4	P5	P6	P7	P8
477	303	272	392	87	74	77	54	68	52	86	75
264	273	226	366	81	87	104	110	165	97	257	160
178	17	280	35	34	154	226	250	369	181	363	234
265	245	211	231	73	225	391	455	711	331	830	396
52	8	14	4	28	16	8	8	7	12	20	8
54	30	27	35	24	29	33	30	77	84	273	112
1	3	5	4	5	7	3	2	7	5	27	14
161	356	96	324	24	50	69	63	92	44	142	100
68	197	54	151	21	57	78	58	77	55	145	90
74	96	54	79	16	39	67	46	40	35	79	58
12	3	18	7	4	43	55	39	12	4	9	17
109	46	119	76	23	49	55	30	19	9	10	12
51	30	37	37	10	25	37	27	26	26	19	24
145	101	89	118	29	38	50	45	48	32	36	20
211	196	184	226	57	77	124	89	101	62	50	30
244	209	271	172	58	109	145	144	238	140	181	122
797	724	763	817	121	282	380	370	580	235	281	130
11	3	41	3	9	23	68	51	49	24	68	29
999	992	881	999	170	361	502	452	839	440	1021	705
35	21	40	32	10	20	41	21	18	18	19	26
131	97	122	97	23	46	62	44	18	8	18	14
350	313	283	322	52	61	63	52	26	13	23	18
432	978	225	799	107	74	76	22	20	10	14	16
97	68	87	87	22	36	41	33	23	16	16	14
115	115	124	101	23	31	46	26	23	14	21	12
153	96	257	80	11	69	96	56	12	3	6	15
9	5	32	3	7	59	100	112	157	21	22	6
28	15	30	13	34	30	34	19	14	19	14	15
286	287	213	283	27	31	49	26	16	10	4	15
22	16	37	24	12	26	46	33	15	17	23	25
23	6	23	9	10	15	17	16	12	16	18	20
185	177	173	184	21	43	37	41	32	14	23	18
94	70	108	71	29	39	54	47	28	21	23	19
28	17	32	31	11	33	51	42	37	18	23	15
39	24	52	28	10	19	39	28	39	17	28	19
84	5	205	21	28	140	186	171	90	29	47	29
540	20	734	92	80	432	668	669	656	210	227	98
12	4	24	6	9	20	30	34	35	14	36	18
12	7	131	7	9	99	260	409	751	138	84	40
315	313	42	288	46	17	10	8	11	10	8	13
429	641	292	594	60	128	195	238	381	194	225	110
230	213	122	197	31	53	81	85	65	45	64	38
62	51	56	48	28	38	37	33	59	35	57	41
201	154	231	147	16	75	81	78	61	26	37	35
349	785	164	652	36	62	60	50	39	22	35	25
126	123	135	132	30	53	64	69	53	33	44	27
58	55	53	52	11	30	38	27	20	19	21	10
143	101	100	103	30	81	115	83	84	31	59	32
154	133	137	139	32	51	72	45	52	15	43	29
92	7	16	16	24	25	33	26	32	10	13	8
35	14	36	15	5	26	28	23	25	12	13	18
357	636	147	573	47	34	40	20	14	12	23	21
174	303	41	227	31	23	26	25	14	11	8	18
2	2	10	3	8	16	43	41	52	13	15	10
485	389	352	357	62	154	265	240	174	56	75	38
47	25	24	23	6	36	34	31	16	11	13	13
559	650	336	646	33	33	32	15	10	8	21	11
127	118	111	88	16	35	48	43	19	13	20	5
108	113	90	103	16	23	33	24	26	18	28	24
605	758	493	778	119	206	299	233	225	116	158	72
243	565	99	461	44	21	26	24	17	19	21	13
890	884	744	926	198	389	586	553	881	366	792	484
448	354	502	285	33	122	151	166	141	40	29	13
4	4	8	3	0	7	13	30	168	39	34	10
12	5	31	6	4	15	35	41	36	16	21	11
395	385	326	413	80	107	140	142	205	120	159	49
115	100	101	84	13	25	31	22	66	18	32	19
180	188	203	185	11	28	39	29	40	18	27	22
45	22	68	34	10	24	29	24	27	19	35	22
74	63	57	56	9	34	44	37	10	9	25	15
34	15	64	15	9	41	79	42	11	5	20	10
2	3	28	1	3	17	24	27	16	12	10	6
13	3	12	8	7	20	38	25	10	13	6	9
110	252	112	188	15	45	67	63	127	49	99	115
997	928	817	921	240	335	519	524	1033	503	1063	676
192	71	155	77	15	42	72	59	57	21	27	30
259	82	133	119	30	33	23	15	20	6	12	6
1317	1453	1075	1426	179	350	542	563	1224	637	1182	803
30	51	20	40	4	15	13	14	19	26	74	45
171	206	70	160	66	61	142	163	78	38	90	41
441	742	186	631	51	23	23	22	14	9	16	16
38	11	91	14	8	79	154	151	185	97	92	64
156	191	119	161	37	90	131	90	92	35	64	50
171	124	156	128	34	22	35	25	61	30	35	24
249	22	223	33	18	43	78	71	153	67	125	49
9	3	19	7	5	31	57	77	181	83	102	59
1858	2164	1499	2079	231	427	666	702	1232	560	1239	849
152	275	102	254	15	27	45	47	48	29	49	33
404	407	333	405	39	69	68	69	130	66	135	119
83	99	64	86	7	27	45	30	25	13	24	15
203	164	169	147	31	37	59	45	59	36	56	38
18	6	61	9	8	29	41	26	49	44	45	19
132	72	47	61	44	12	17	18	22	15	18	21
136	67	84	74	23	79	119	74	70	52	108	101
14	8	62	8	5	19	37	31	115	79	169	71
427	458	378	413	48	83	83	78	133	79	64	57
35	55	26	45	19	89	145	163	278	135	166	50
47	39	22	52	35	11	16	12	48	19	26	25
254	322	262	316	24	76	102	118	177	77	108	81
370	290	87	380	27	20	24	19	19	10	20	17
474	659	544	593	78	234	363	356	654	288	626	384
948	939	690	860	68	27	17	13	8	10	8	9
527	461	145	428	27	9	5	6	4	4	6	3
18	2	60	4	6	30	45	32	7	4	5	7
15	2	47	5	5	12	28	27	15	2	5	5
210	1020	58	608	9	10	25	18	16	9	12	7
180	189	163	187	19	35	33	30	29	16	12	13
7	8	101	3	5	7	17	24	13	4	9	10
41	33	58	34	16	17	26	29	14	10	18	9
1	1	4	1	2	4	11	5	9	27	12	12
71	84	56	70	5	12	17	9	11	6	10	5
64	1	1	2	31	8	2	6	4	8	7	3
7	4	6	1	4	9	19	8	11	8	9	17
12	12	22	14	4	48	39	18	12	9	11	10
648	856	253	790	23	11	10	2	12	8	14	15
94	250	49	205	14	10	10	6	6	5	8	6
3	1	12	2	7	12	19	11	11	12	31	28
36	45	53	38	3	19	21	16	10	3	13	7
14	1	3	2	15	8	3	3	12	9	11	6
93	93	87	85	7	11	21	11	13	9	19	14
54	41	61	38	10	24	30	12	14	8	32	18
429	410	251	397	23	44	40	12	3	4	11	10
244	450	82	331	26	10	5	3	10	3	7	7
55	70	49	65	12	16	38	21	47	25	39	15
206	259	82	266	19	5	3	6	6	9	6	10
19	4	9	9	2	4	7	7	4	6	14	20
324	89	105	123	51	14	10	4	5	2	9	7
62	50	13	33	24	2	5	1	2	2	10	5
6	8	5	5	2	7	10	17	56	23	29	13
60	67	52	64	15	13	31	17	16	6	15	16
7	3	46	10	2	13	27	33	28	8	11	8
49	35	44	38	17	11	14	15	14	14	15	18
3	2	6	5	3	4	4	4	2	7	7	15
85	76	82	86	5	16	22	11	16	13	11	9
482	514	224	491	22	9	11	4	12	6	4	11
341	80	670	142	12	105	206	279	381	73	66	28
370	556	59	566	38	14	8	8	13	5	9	10
82	21	103	34	13	109	154	155	40	9	9	11
23	8	50	14	4	15	28	36	19	6	7	19
117	5	86	13	14	5	13	10	5	10	7	11
34	4	40	6	3	24	28	29	18	7	13	4
379	363	150	345	23	9	13	19	13	8	17	12
816	143	1529	253	55	289	389	313	64	21	29	20
160	232	161	226	17	17	18	17	17	17	19	14
214	261	146	257	10	22	38	27	20	18	29	42
64	156	96	131	5	34	39	46	25	13	21	44
9	3	24	5	4	9	15	26	47	10	18	14
81	98	55	77	11	13	15	17	16	6	18	14
201	405	110	353	16	21	34	17	21	15	30	19
138	173	35	165	30	8	21	9	9	14	13	20
266	296	238	354	60	67	79	102	97	23	35	24
364	610	37	618	75	15	12	10	12	5	8	9
489	67	257	137	18	17	7	2	6	10	6	9
192	157	170	157	25	55	61	51	58	17	36	26
5	6	10	7	6	4	8	13	16	18	11	19
140	7	100	8	8	65	134	155	118	32	38	19
79	19	67	34	3	26	68	89	50	16	18	9
66	31	37	42	18	22	27	28	19	11	13	12
31	26	37	32	11	24	26	20	12	11	13	14
7	3	9	5	11	4	10	14	12	18	24	22
41	12	106	24	8	25	28	19	11	11	12	15
3	4	10	3	5	7	10	10	7	8	21	11
20	4	50	10	9	53	85	65	20	8	18	8
200	210	156	206	18	39	57	34	36	25	43	10
36	13	56	24	8	20	25	21	36	14	22	18
305	316	297	306	39	79	85	77	98	60	134	69
8	6	14	10	9	14	14	19	30	26	77	39
120	202	201	146	10	37	67	33	65	46	122	65
103	219	132	200	6	16	41	22	67	34	87	32
264	31	372	66	14	38	75	81	113	43	83	25
15	7	61	9	3	58	143	243	601	280	663	269
21	15	37	9	2	14	23	25	77	66	178	91
299	328	161	275	36	18	25	10	7	12	9	9
747	643	626	679	108	180	212	232	329	168	329	255
30	28	54	23	8	27	42	35	62	32	72	33
14	1	97	10	1	30	66	61	23	13	13	16
7	2	10	4	5	42	65	127	407	150	166	24
79	76	106	70	3	23	29	28	19	9	10	6
721	706	432	770	140	147	193	202	249	117	189	93
103	173	59	157	12	26	32	41	43	43	67	27
326	56	721	65	33	129	199	135	129	45	63	10
18	19	21	24	8	13	13	12	21	17	38	18
22	8	59	3	5	26	40	37	14	10	9	11
194	110	252	124	58	148	205	165	100	30	36	11
982	259	641	292	163	207	256	166	69	28	32	19
235	180	168	217	29	35	38	19	12	8	7	10
74	131	81	98	10	16	17	9	25	16	26	17
172	143	143	175	26	30	46	32	64	41	68	50
122	153	113	137	13	23	37	31	58	35	60	30
79	20	294	30	9	150	291	376	889	428	579	160
21	9	30	22	10	47	90	144	285	123	98	24
13	9	16	17	8	13	21	37	179	157	268	106
602	763	474	666	33	25	19	14	18	24	83	34
16	16	20	17	9	20	38	54	60	39	92	57
12	11	18	12	6	21	43	69	50	31	46	24
33	38	30	41	4	22	31	42	87	54	66	15
36	6	57	17	6	33	76	58	53	23	24	29
6	1	23	6	2	5	11	22	32	6	12	11
206	239	175	207	29	105	157	163	246	140	369	249
93	174	86	164	13	49	66	80	176	101	230	189
344	536	274	441	60	176	305	359	542	281	714	575
193	35	250	57	38	71	111	107	257	137	317	175
11	7	14	9	8	22	33	20	86	83	212	141
21	23	25	29	8	30	57	108	615	242	505	223
866	1060	772	916	44	216	428	410	1104	431	908	527
740	708	649	740	61	111	153	158	412	215	501	397
57	91	37	92	26	36	48	38	100	63	169	145
12	13	20	14	3	11	13	19	86	41	91	40
3	3	9	2	5	8	11	14	22	21	26	33
143	3	150	15	5	41	84	183	316	66	44	10
16	6	49	7	4	16	20	43	93	40	35	25
36	68	155	32	4	51	78	91	115	44	73	47
93	26	17	29	26	16	12	9	22	15	33	31
15	20	12	22	4	12	25	14	21	25	90	61
269	637	124	505	9	67	130	137	123	38	47	30
21	8	23	11	10	8	8	6	12	15	24	11
206	263	173	258	48	56	99	90	150	81	118	102
485	432	401	493	57	111	186	164	366	152	298	260
304	385	217	360	49	57	78	70	62	28	60	27
83	23	25	31	24	11	5	6	6	8	7	9
12	9	22	9	3	14	10	29	40	16	25	13
276	249	177	252	43	64	83	68	53	30	57	51
42	7	35	15	9	7	26	11	10	5	9	15
33	84	22	67	9	29	68	51	22	18	87	85
446	1244	90	1018	38	17	28	11	12	12	12	13
25	38	39	28	10	23	43	28	64	52	164	122
163	56	36	76	109	28	28	11	18	21	81	36
120	5	99	16	23	32	36	24	16	10	26	16
141	16	29	25	50	17	16	8	18	12	10	19
44	1	5	2	22	6	8	2	5	5	4	4
25	16	22	19	16	29	42	33	39	17	22	10
167	263	62	288	24	36	37	31	23	17	40	23
155	7	591	22	5	127	221	128	24	11	20	9
153	109	181	139	20	46	46	24	18	22	29	19
998	905	894	985	129	150	222	200	421	232	532	376
373	362	365	435	31	54	55	72	79	59	82	72
335	576	80	517	47	35	60	78	268	112	268	126
11	5	8	5	3	4	8	13	12	23	53	20
27	24	17	14	15	19	26	14	12	8	38	40
17	3	34	9	12	21	27	12	8	11	14	21
420	508	191	476	69	39	26	14	12	15	19	20
62	6	23	12	94	22	12	4	14	10	17	13
106	86	92	86	15	24	25	23	24	23	44	27
780	818	617	857	75	139	211	194	468	192	379	253
577	567	454	606	70	135	203	166	326	163	298	223
632	486	477	592	69	143	176	147	281	130	202	135
69	2	12	6	22	3	4	5	12	7	3	4
103	70	106	71	13	20	27	16	21	11	23	17
181	110	325	109	16	35	59	76	44	17	13	17
17	13	56	7	9	54	65	79	39	24	35	10
189	169	140	173	16	20	44	24	17	11	18	17
86	87	62	81	17	20	19	12	9	12	20	19
728	581	548	588	76	133	139	161	127	45	65	23
189	293	58	304	18	13	9	11	11	9	12	12
105	77	104	74	11	15	27	22	8	5	8	10
203	249	128	274	46	13	12	10	12	10	10	9
109	65	46	72	23	11	8	13	9	7	14	18
88	80	50	63	33	17	22	18	12	6	18	11
35	10	255	7	4	179	391	271	39	10	14	14
166	373	76	323	14	31	34	21	5	11	17	10
133	167	135	139	19	44	59	44	43	16	24	24
15	18	23	12	6	18	7	6	6	15	16	5
69	32	104	21	8	28	33	41	13	13	15	13
134	400	378	282	13	39	90	73	38	24	32	21
276	754	710	565	18	44	68	62	35	8	18	11
106	91	204	102	22	51	48	25	16	11	12	9
10	6	19	10	3	8	13	14	24	7	16	13
159	9	65	18	35	66	62	60	23	24	10	24
94	6	134	21	14	78	125	88	25	14	15	27
310	20	715	50	25	218	412	475	119	25	18	18
37	8	99	11	6	71	98	93	27	11	18	12
116	61	38	99	33	11	17	15	17	6	19	14
316	271	259	313	23	20	22	19	24	19	53	32
53	56	57	75	7	15	29	18	34	18	26	14
946	981	676	1083	96	208	288	248	307	131	268	138
789	793	525	870	83	161	211	167	161	88	152	86
573	406	303	524	50	80	104	97	117	35	35	27
268	223	248	205	30	32	65	49	55	26	56	30
1153	1426	975	1401	171	325	447	453	535	285	514	357
2449	2717	2163	2678	369	651	977	1028	1854	862	1806	1072
359	356	350	378	42	56	84	88	184	87	185	198
27	12	22	10	6	11	11	6	14	9	16	26
902	642	614	810	40	55	79	70	49	20	22	17
487	436	365	512	21	47	57	32	19	12	21	23
800	672	553	914	41	62	62	39	17	18	23	19
71	11	7	30	20	4	0	3	3	1	1	3
1120	1642	654	1680	26	14	17	12	7	11	11	18
78	11	166	27	6	27	33	36	19	12	19	15
151	17	256	36	7	33	62	65	49	22	56	21
1409	223	1393	688	66	200	301	339	379	61	45	21
169	317	108	245	29	56	98	87	76	26	46	24
748	1034	343	910	15	11	33	16	12	10	17	7
121	4	36	8	54	22	22	14	12	15	12	3
335	416	264	388	26	34	67	32	26	6	17	22
3	6	5	1	5	7	10	23	15	12	9	8
135	122	135	136	16	33	42	32	24	17	37	32
529	523	584	487	30	80	122	99	100	43	103	70
194	191	161	183	22	50	66	64	112	48	83	59
756	786	632	849	101	215	347	305	571	277	560	290
175	44	284	136	9	30	36	25	6	6	9	9
26	1	5	4	30	7	7	3	10	14	10	12
30	8	54	10	4	20	15	22	11	9	13	13
83	67	83	78	8	14	20	20	22	17	24	18
112	22	129	18	14	56	57	33	12	9	13	12
158	160	143	160	16	42	39	42	43	29	26	28
345	68	78	59	78	16	12	9	10	9	11	7
151	2	28	5	35	20	21	21	14	12	6	9
61	64	68	56	8	40	36	39	25	30	37	32
632	617	434	642	38	76	112	104	158	85	215	123
14	6	53	8	5	67	127	192	256	96	117	37
160	430	43	327	26	8	26	6	18	10	22	24
5	2	61	2	3	17	52	77	66	15	12	9
7	4	30	9	7	23	35	44	50	20	26	15
16	0	19	3	2	14	26	23	34	7	15	6
530	5	732	31	24	154	230	173	28	12	12	7
603	560	514	572	70	133	187	186	297	126	269	163
383	288	303	343	33	70	84	64	123	53	112	77
95	39	112	50	7	24	24	21	13	14	13	12
114	125	98	115	8	16	28	19	17	9	16	15
12	0	13	6	6	8	24	32	25	4	6	7
373	2	341	9	86	208	342	381	189	24	44	28
42	12	291	10	6	136	260	381	823	232	331	76
63	49	56	44	6	14	28	14	16	11	26	13
192	141	188	149	19	12	4	3	7	3	6	8
52	50	9	53	16	5	6	4	5	5	7	18
51	10	94	17	7	24	22	18	17	11	12	16
136	194	125	208	39	87	119	67	67	32	43	20
159	183	144	188	21	34	49	17	36	11	28	26
289	206	70	213	31	15	9	6	8	10	5	5
181	537	106	414	25	9	8	5	4	5	12	7
62	30	103	36	7	70	118	160	98	24	29	27
276	21	579	84	7	112	197	367	519	70	50	17
32	26	36	15	7	16	28	23	26	11	26	16
235	8	28	17	16	2	9	3	14	6	11	6
422	396	279	439	48	74	101	77	80	32	30	19
6	10	4	4	5	8	13	3	7	6	7	10
7	8	10	1	4	2	4	4	6	1	19	5
426	586	186	626	23	9	12	9	9	10	13	19
4	8	21	5	5	11	16	9	12	19	20	14
287	826	59	701	16	12	5	9	6	7	7	15
117	63	79	61	9	22	49	28	11	9	14	11
446	458	417	413	43	83	101	75	45	17	17	20
140	12	233	28	19	77	58	14	5	8	14	11
269	315	191	278	42	54	53	55	41	22	26	34
105	28	35	43	23	8	9	11	8	9	15	15
453	504	272	585	32	63	77	48	78	38	33	23
1614	1738	1341	1821	149	243	307	266	401	189	269	66
321	289	281	314	40	52	77	57	66	44	43	31
31	77	31	81	4	12	23	22	7	8	8	8
525	431	630	558	16	30	30	12	13	5	7	10
343	243	232	279	14	9	9	8	12	10	6	19
9	3	77	6	5	24	43	31	6	7	3	4
11	1	46	2	0	17	36	29	13	15	9	9
207	214	387	190	7	61	119	149	141	39	30	21
136	56	176	49	17	58	94	82	148	85	163	58
228	189	170	204	28	38	49	46	68	42	80	96
23	4	99	6	7	71	116	102	64	31	39	41
6	2	23	6	4	22	41	44	65	49	58	18
33	15	22	25	4	12	17	16	19	15	22	21
16	6	15	5	0	24	46	70	92	31	33	9
339	282	509	264	11	89	133	109	74	18	17	13
116	20	189	42	10	12	28	32	8	11	11	10
251	139	135	175	15	18	15	12	7	4	12	11
314	201	74	203	45	5	7	3	7	9	8	7
409	370	234	374	32	20	8	2	9	3	6	8
167	183	102	201	26	12	14	7	13	6	17	11
41	10	28	17	8	18	25	18	20	8	9	10
226	80	148	137	14	12	34	15	10	16	12	14
140	105	118	135	14	22	28	7	19	11	12	11
888	1358	647	1333	106	244	347	275	878	617	1409	857
211	206	166	225	20	24	39	33	32	21	34	19
171	23	456	47	5	37	48	87	200	90	131	29
14	11	19	10	2	30	33	30	32	26	60	30
172	155	573	192	7	144	264	263	375	197	302	93
79	5	135	12	3	28	34	31	14	5	8	6
287	231	187	273	20	57	63	36	44	14	41	18
308	291	189	325	20	35	67	39	37	21	29	15
209	201	89	199	23	22	18	8	18	11	19	14
258	13	38	24	27	8	3	8	6	3	12	9
263	150	53	286	27	30	43	31	32	9	20	6
86	106	28	72	24	15	28	22	16	8	12	13
251	254	152	238	24	29	36	32	32	22	45	33
26	2	63	6	7	11	13	15	17	22	73	49
12	11	5	13	4	6	10	6	6	38	172	101
13	35	9	22	7	4	8	13	3	10	44	18
196	344	169	290	9	21	27	18	23	36	202	85
13	16	10	17	4	14	10	8	15	16	52	25
670	1098	430	920	37	57	70	27	23	12	27	14
41	3	133	12	6	81	146	176	169	115	353	108
339	156	588	191	9	68	85	104	84	49	172	39
4	2	8	7	5	4	6	1	12	12	71	34
1	1	5	7	2	4	6	7	6	16	14	2
17	4	58	4	5	51	98	121	99	43	78	28
268	126	426	149	26	124	155	201	167	78	125	40
67	86	76	78	2	16	23	24	27	27	104	60
15	14	21	23	5	6	11	14	7	15	48	31
3	7	13	2	4	9	15	8	10	8	31	17
17	15	23	12	5	12	8	12	33	36	129	71
370	250	541	255	31	103	138	106	172	78	133	52
75	209	35	172	9	20	21	19	39	34	104	52
203	185	352	217	9	50	72	75	135	55	165	76
214	208	212	191	12	47	57	44	81	88	229	58
758	378	358	451	107	67	58	16	26	16	19	14
99	5	40	17	18	27	40	26	15	17	76	49
20	0	46	1	5	23	46	35	11	2	14	9
52	5	137	11	4	37	42	48	11	6	17	7
10	2	9	6	42	10	4	3	8	6	10	11
135	71	36	76	27	8	9	8	9	9	5	10
33	8	99	8	4	10	13	11	17	9	16	10
107	157	154	180	4	12	21	13	8	11	15	15
85	48	20	47	26	12	3	8	5	9	11	14
201	46	175	58	13	51	41	36	9	13	13	7
60	72	84	55	11	26	26	20	43	22	58	20
145	74	388	99	9	96	187	188	98	30	35	9
199	223	138	264	12	15	26	11	12	10	18	24
107	116	101	105	14	31	38	27	21	17	33	19
464	855	507	767	42	48	41	22	21	10	25	14
42	8	71	15	7	13	28	34	49	16	23	10
23	2	159	8	7	46	72	95	174	49	62	18
959	889	733	1019	94	146	212	196	378	197	389	371
321	366	192	351	25	25	42	42	129	62	148	100
544	588	340	648	34	63	83	57	33	18	26	14
140	138	157	117	30	34	58	64	76	33	49	24
119	109	92	87	21	17	29	28	35	15	22	22
11	13	9	5	5	9	14	14	35	13	14	8
198	28	129	52	16	16	18	11	12	6	13	6
7	8	9	5	6	7	11	8	15	13	21	5
134	39	852	52	24	195	335	362	387	55	133	78
65	6	507	18	6	102	156	233	404	77	95	24
7	7	7	3	7	10	5	15	38	27	44	11
1005	923	767	953	80	197	244	268	557	257	543	184
13	1	8	3	10	14	19	19	18	5	3	2
11	5	11	2	2	7	10	26	14	6	14	14
101	7	53	27	12	15	14	28	33	18	16	13
173	200	180	204	19	32	23	20	66	20	21	30
129	172	97	184	13	28	32	22	42	30	23	25
31	15	9	15	18	12	3	3	11	10	19	6
6	10	10	9	8	4	9	11	9	15	12	16
9	8	10	7	8	5	7	10	11	24	18	24
52	89	52	83	14	24	22	25	20	17	12	12
102	64	102	77	26	50	53	38	38	30	27	25
6	2	10	3	7	5	4	7	11	20	9	18
3	3	1	3	2	9	9	10	20	6	4	11
735	346	105	590	29	7	10	7	11	14	14	11
148	231	64	264	20	16	12	18	15	17	17	15
14	6	24	9	3	10	27	29	39	11	14	16
233	341	131	311	17	20	18	17	12	9	9	12
849	742	253	656	70	15	13	10	9	10	12	11
195	679	97	450	16	17	26	24	26	13	14	14
31	26	22	15	11	13	7	7	8	11	23	15
134	221	147	177	15	30	50	21	20	13	24	15
543	679	370	774	62	86	73	78	73	51	35	24
251	398	179	380	27	28	33	25	33	17	23	18
270	202	150	199	24	24	35	26	18	22	21	13
343	582	143	531	14	11	14	15	14	13	16	12
1	2	3	5	3	9	2	6	18	12	13	11
79	50	62	57	13	56	68	35	14	16	65	38
28	9	38	11	4	11	20	7	11	21	34	13
171	214	132	199	27	49	53	42	54	18	37	26
174	261	144	253	19	53	63	35	59	28	43	23
257	469	52	408	25	4	8	6	10	3	8	9
181	205	153	251	25	38	49	41	18	7	18	14
507	605	370	672	56	82	135	82	79	43	68	45
270	304	173	268	23	48	61	41	22	21	27	20
24	5	25	12	20	9	13	6	6	11	7	6
277	235	194	269	47	58	76	57	68	30	49	40
208	233	119	266	20	61	70	55	52	38	45	33
252	44	371	53	11	47	86	94	96	18	13	15
313	269	206	272	24	37	50	48	18	17	23	13
214	176	123	196	33	11	25	20	21	19	15	23
270	268	199	266	28	30	54	32	24	17	13	16
487	554	104	539	29	7	12	2	9	9	5	6
219	100	124	120	30	12	9	9	12	9	9	7
66	24	22	28	33	8	15	6	16	3	13	9
337	5	421	16	10	51	89	93	29	6	13	12
273	10	196	25	91	43	34	21	12	16	15	10
68	11	135	11	17	37	42	34	26	11	11	10
21	1	238	3	11	142	301	317	201	42	52	16
47	45	88	34	6	34	52	46	37	16	39	18
15	7	52	8	3	22	34	50	83	51	104	42
26	14	38	19	7	25	46	34	8	11	10	15
25	21	63	24	2	33	36	29	14	7	10	16
42	55	34	47	7	16	22	21	24	12	21	16
149	181	117	164	27	53	67	58	103	49	79	51
896	991	682	1071	118	204	279	282	512	255	583	438
85	77	268	75	30	168	221	247	582	204	221	87
39	1	6	2	62	14	9	9	7	8	13	11
49	2	13	4	16	13	8	7	4	13	7	8
45	0	41	3	11	24	11	22	20	6	16	9
44	6	178	6	11	53	70	115	72	15	19	21
564	202	774	314	23	203	391	402	617	210	227	86
71	39	79	39	13	72	92	77	116	41	118	68
291	14	610	62	9	39	52	31	16	16	17	12
120	18	182	65	6	88	112	108	23	14	15	13
233	9	85	23	43	62	85	36	18	12	17	22
35	15	104	24	6	29	46	34	13	18	13	17
265	124	287	169	22	46	35	17	19	11	6	16
127	113	102	107	26	36	56	52	51	31	46	29
110	310	79	235	10	24	26	23	34	36	113	57
256	116	134	211	18	32	40	34	29	22	25	14
66	14	81	22	11	29	39	20	11	12	17	18
50	36	46	41	7	24	31	34	19	17	11	13
217	178	224	181	21	74	87	87	104	74	155	103
100	20	96	75	3	21	23	16	17	8	7	8
3	2	11	5	1	5	3	4	44	13	13	13
3	5	11	2	6	13	22	31	184	65	49	18
41	55	27	67	21	19	16	18	30	22	13	17
234	308	152	299	41	33	29	18	28	7	15	16
335	380	216	420	34	53	53	51	89	42	105	85
944	939	745	1154	100	185	223	236	448	266	551	372
6	5	9	10	4	6	7	8	15	6	16	16
78	45	64	47	4	21	28	22	23	15	25	18
16	12	22	11	6	11	20	21	14	9	13	14
71	5	135	12	7	29	33	11	11	9	12	11
44	3	139	5	7	37	37	28	11	10	13	8
19	11	79	12	10	66	102	61	79	26	43	33
1335	1526	903	1514	122	206	283	292	505	264	583	332
60	70	42	74	4	16	22	28	43	48	75	29
322	271	227	293	34	51	61	28	16	9	14	16
100	110	69	109	8	23	27	21	12	10	22	14
5	2	5	7	4	4	6	2	13	16	6	12
68	75	90	78	14	24	31	30	17	9	17	9
248	131	235	159	36	65	84	53	33	19	19	18
324	337	137	348	30	20	22	11	9	13	15	12
388	21	453	69	45	207	289	187	28	8	18	8
13	6	20	6	10	16	18	12	24	23	20	35
17	13	31	16	10	16	34	29	26	19	30	24
314	364	77	387	46	16	7	7	14	13	19	13
29	14	83	13	14	22	40	46	31	24	41	35
49	18	103	18	10	22	27	27	26	21	32	24
80	21	21	13	25	13	10	8	10	9	25	15
20	16	53	17	5	18	40	28	38	30	102	46
30	7	67	10	6	30	56	24	12	12	7	14
920	794	728	874	255	282	465	486	858	509	1223	844
36	34	40	36	5	23	38	18	20	15	24	11
156	176	49	171	23	8	6	4	3	7	9	6
96	121	75	130	15	32	34	29	10	5	15	15
6	2	14	2	9	19	30	26	22	17	21	13
13	6	13	7	11	16	8	10	11	16	18	17
43	14	21	17	29	10	16	7	10	5	12	7
52	1	124	1	4	28	48	23	10	7	4	6
101	132	62	158	25	45	86	69	33	15	44	19
19	17	49	17	14	55	109	74	63	28	29	19
506	544	390	606	118	192	257	206	355	154	113	25
266	232	264	266	42	58	57	55	47	18	18	17
467	352	497	402	54	134	138	145	166	72	60	27
425	656	274	649	85	134	186	167	244	96	148	119
349	485	209	478	51	87	124	110	178	95	173	133
651	729	438	789	133	263	335	291	527	230	570	367
193	236	195	217	26	80	92	94	101	40	90	56
727	100	893	150	104	446	677	694	463	59	40	25
14	3	69	3	8	74	104	82	42	16	13	11
364	314	288	363	73	126	192	193	260	132	243	153
4	4	37	4	9	42	77	34	14	6	3	12
71	11	54	38	49	27	24	18	10	11	13	10
452	67	606	213	10	79	95	73	17	11	20	13
306	171	74	183	78	33	22	20	35	16	24	11
168	28	28	53	66	30	14	10	11	13	12	5
36	8	18	7	37	32	30	16	7	11	24	3
166	87	183	130	62	84	128	112	106	61	118	58
469	503	410	482	101	182	242	248	329	164	251	103
7	6	25	9	8	30	49	71	133	47	36	12
24	6	75	19	10	42	69	62	79	45	49	27
420	430	308	392	77	139	228	216	298	118	230	186
28	5	78	9	3	35	39	24	12	11	16	5
176	136	174	124	21	24	17	10	10	6	8	13
41	46	31	52	10	13	25	26	17	9	15	12
221	270	203	264	31	49	82	55	40	26	39	23
441	505	322	548	65	111	114	129	183	95	91	56
664	827	483	805	145	246	278	370	762	339	600	322
49	3	10	12	45	28	29	34	21	16	13	7
173	16	73	46	28	16	13	8	5	9	9	5
11	2	28	8	3	37	51	42	20	9	7	10
252	63	338	57	33	214	370	283	63	31	65	42
716	435	268	645	38	45	66	62	29	15	19	12
285	260	414	224	72	66	75	58	22	13	25	13
7	3	44	2	6	93	151	140	147	37	37	14
17	3	30	10	6	37	50	32	13	15	9	13
732	880	572	830	98	398	604	387	72	19	26	23
